[INFO ] 2020-02-21 18:46:15.206 [http-nio-8081-exec-4] Servlet - Incoming Post Request
[INFO ] 2020-02-21 18:46:15.206 [http-nio-8081-exec-4] Servlet - Incoming Get Request
[INFO ] 2020-02-21 18:46:27.918 [http-nio-8081-exec-6] Servlet - Incoming Post Request
[INFO ] 2020-02-21 18:46:27.918 [http-nio-8081-exec-6] Servlet - Incoming Get Request
[INFO ] 2020-02-21 18:46:47.361 [http-nio-8081-exec-2] Servlet - Incoming Post Request
[INFO ] 2020-02-21 18:46:47.363 [http-nio-8081-exec-2] Servlet - Incoming Get Request
[INFO ] 2020-02-21 18:47:28.970 [http-nio-8081-exec-3] Servlet - Incoming Post Request
[INFO ] 2020-02-21 18:47:28.972 [http-nio-8081-exec-3] Servlet - Incoming Get Request
[INFO ] 2020-02-21 18:47:28.981 [http-nio-8081-exec-3] Servlet - Given action: DeleteProject
[INFO ] 2020-02-21 19:10:58.517 [http-nio-8081-exec-3] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:10:58.527 [http-nio-8081-exec-3] Servlet - Given action: CreateProject
[INFO ] 2020-02-21 19:11:19.828 [http-nio-8081-exec-6] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:11:19.829 [http-nio-8081-exec-6] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:11:19.829 [http-nio-8081-exec-6] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:16:36.745 [http-nio-8081-exec-3] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:16:36.747 [http-nio-8081-exec-3] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:16:36.758 [http-nio-8081-exec-3] Servlet - Given action: DeleteProject
[INFO ] 2020-02-21 19:16:48.700 [http-nio-8081-exec-4] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:16:48.701 [http-nio-8081-exec-4] Servlet - Given action: CreateProject
[INFO ] 2020-02-21 19:17:16.558 [http-nio-8081-exec-7] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:17:16.558 [http-nio-8081-exec-7] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:17:16.558 [http-nio-8081-exec-7] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:18:06.364 [http-nio-8081-exec-10] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:18:06.364 [http-nio-8081-exec-10] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:18:06.365 [http-nio-8081-exec-10] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:19:06.954 [http-nio-8081-exec-4] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:19:06.956 [http-nio-8081-exec-4] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:19:06.967 [http-nio-8081-exec-4] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:19:34.628 [http-nio-8081-exec-6] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:19:34.629 [http-nio-8081-exec-6] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:19:34.629 [http-nio-8081-exec-6] Servlet - Given action: UpdateProject
[INFO ] 2020-02-21 19:19:48.828 [http-nio-8081-exec-7] Servlet - Incoming Post Request
[INFO ] 2020-02-21 19:19:48.828 [http-nio-8081-exec-7] Servlet - Incoming Get Request
[INFO ] 2020-02-21 19:19:48.828 [http-nio-8081-exec-7] Servlet - Given action: UpdateProject
